ALS-BR01	4390	1.861	3.446	7.069	3.796
ALS-BR02	2634	2.758	1.387	3.223	3.244
ALS-BR03	5740	2.389	5.456	8.657	7.830
ALS-BR04	1596	0.395	0.452	1.439	0.493
ALS-BR05	4911	2.237	4.222	8.848	3.744
ALS-BR06	2274	1.389	1.489	3.975	4.679
ALS-BR07	1294	0.760	0.462	2.341	0.536
ALS-BR08	1275	1.340	0.644	1.846	2.656
ALS-KA09	4585	3.414	20.675	10.224	5.572
ALS-KA10	4499	2.287	20.146	9.478	5.303
ALS-KA11	5835	2.534	31.228	9.595	6.172
ALS-SP02	1456	0.698	0.695	1.842	0.532
ULS-BR01	2712	14.805	6.842	50.851	42.392
ULS-BR02	5248	16.693	9.850	37.769	23.975
ULS-BR03	7266	11.356	24.106	92.917	61.733
ULS-BR05	4170	9.181	8.120	52.270	31.355
ULS-BR06	5909	9.932	13.340	57.183	38.787
ULS-BR07	6227	17.608	10.173	41.496	36.861
ULS-BR08	6036	12.952	21.606	64.969	51.375
ULS-KA09	6007	19.923	34.091	44.833	39.613
ULS-KA10	5638	10.368547	28.78788	46.987415	40.57933
ULS-KA11	5834	11.913675	39.09122	47.891563	42.77556
ULS-SP02	2936	6.447726	7.2568164	27.668728	22.448013
TLS-BR01	1122	56.536	25.621	850.015	454.944
TLS-BR02	2955	37.027	18.922	381.628	248.833
TLS-BR03	714	11.495	5.243	121.244	52.736
TLS-BR04	1813	59.840	23.269	660.753	469.446
TLS-BR05	2967	81.245	38.454	970.322	657.404
TLS-BR06	1898	18.813	8.927	194.271	109.483
TLS-BR07	2627	51.777	25.080	635.522	452.381
TLS-BR08	1937	78.780	33.562	1060.721	734.373
TLS-KA09	1261	38.988	22.069	562.831	346.010
TLS-KA10	1380	47.884	33.696	613.597	422.592
TLS-KA11	1824	43.516	26.665	706.204	393.059
TLS-SP02	1558	36.764	19.562	605.249	327.259
